"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","10UF","","","","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~"
"C2","1","2.2uF","","","","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~"
"C3","1","0.01 uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"CJS1,CSW1,CSW3","3","0.47uF","","","","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~"
"C_BP1","1","0.1 uf","","","","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~"
"C_BP2","1","47 uf","","","","Capacitor_THT:C_Radial_D10.0mm_H20.0mm_P5.00mm","~"
"C_s2","1","1 uF","","","","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal","~"
"D1","1","ASMB-MTB1-0A3A2","","","","LED_SMD:LED_Avago_PLCC4_3.2x2.8mm_CW","https://docs.broadcom.com/docs/AV02-4194EN"
"D2","1","LED","","","","LED_THT:LED_D3.0mm_FlatTop","~"
"J1","1","Conn_02x40_Counter_Clockwise","","","","Connector_PinHeader_2.54mm:PinHeader_2x40_P2.54mm_Vertical","~"
"J3","1","512964594","","","","CorrectlLCDconnector:CON_512964594_MOL",""
"J4,J10","2","~","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"J5","1","Keypad","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"J6","1","Conn_02x10_Odd_Even","","","","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","~"
"J7","1","54-00164","","","","54-00164.step:TENSILITY_54-00164",""
"MK1","1","CMA-4544PF-W","","","","CMA-4544PF-W.step:MIC_CMA-4544PF-W",""
"PullUpResistor2,PullUpResistorJS1,PullUpResistorSW1,PullUpResistorSW3,RJS1,RSW1,RSW3","7","10kR","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","~"
"Q1","1","2N7000","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.vishay.com/docs/70226/70226.pdf"
"R10","1","10K","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"R_BUZ1","1","100R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","~"
"R_BUZ2","1","100kR","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","~"
"R_COFF2,R_COFF3,R_COFF4","3","1kR","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","~"
"R_INDC1","1","5.5k ohm","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","~"
"R_SNSA2,R_SNSA3,R_SNSA5,R_SNSA6","4","2.2kR","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","~"
"R_SNSA4","1","70kR","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical","~"
"SW1,SW2,SW3","3","SW_Push","","","","Button_Switch_THT:SW_PUSH_6mm_H7.3mm","~"
"U1","1","NUCLEO-G0B1RE","","","","NUCLEO-G0B1RE.step:MODULE_NUCLEO-G0B1RE",""
"U2","1","LP-MSPM0G3507","","","","ECE319K:ti_LP_MSPM0G3507","https://www.ti.com/tool/LP-MSPM0G3507"
"U4","1","SN74AHC14N","","","","Schmitt:DIP794W45P254L1969H508Q14",""
"U5","1","LM7805_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"U6","1","TLV1117-33","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/tlv1117.pdf"
"U7","1","COM-09032","","","","Joystick:XDCR_COM-09032",""
"U8","1","WST-1205S","","","","WST-1205S.step:WST-1205S",""
"U9","1","AL5809-20QP1-7","","","","AL5809-20.step:SODFL3717X100N",""
"U10","1","BH1750FVI-TR","","","","BH1750FVI-TR:XDCR_BH1750FVI-TR",""
"U11","1","MCP6002-I_P","","","","MCP6002.step:DIP787W46P254L927H533Q8",""
"U12","1","DRV8833PWP","","","","Package_SO:HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias","http://www.ti.com/lit/ds/symlink/drv8833.pdf"
